"","act","mod","e1","e2","e3","expert.1","expert.2","expert.3","docket","casename","certdate","argudate","ctbelow","constat","subjmatt","numexper","courtact","issue","value","dir","vote","constit","statut","comlaw","criminal","courtmod","har_value","har_dir","ali_issue","ali_value","just","exp.tot"
"55",0,0,0,0,1,110,332,518,"""01-1120""","""Meyer v. Holley""","2002-05-20","2002-12-03","""USCA-9""",NA,NA,3,0,220,2,0,90,0,1,0,0,0,2,0,618,8,1,0.333333333333333
"58",0,0,0,0,0,510,930,875,"""01-1127""","""Lockyer, Atty.Gen. of Ca. v. Andrade""","2002-04-01","2002-11-05","""USCA-9""",NA,NA,3,0,13,1,0,54,1,1,0,1,0,1,0,41,1,1,0
"61",0,0,0,0,0,540,463,539,"""01-1184""","""U.S. v. Recio""","2002-05-28","2002-11-12","""USCA-9""",NA,NA,3,0,112,1,0,81,0,0,1,1,0,1,0,163,1,1,0
"64",1,0,1,0,NA,427,521,NA,"""01-1209""","""Boeing Co. v. US & 1-1382 US v. Boeing Sales""","2002-05-28","2002-12-09","""USCA-9""",NA,NA,2,1,960,12,1,72,0,1,0,0,0,12,1,960,12,1,0
"67",0,0,0,1,0,729,482,635,"""01-1229""","""Pierce County v. Guillen""","2002-04-29","2002-11-04","""SC-WA""",NA,NA,3,0,673,8,0,90,1,1,0,0,0,8,0,939,10,1,0.333333333333333
"70",0,0,0,0,0,882,616,20,"""01-1231""","""CT Dept. of Public Safety v. Doe""","2002-05-20","2002-11-13","""USCA-2""",NA,NA,3,0,80,1,0,90,1,0,0,0,0,1,0,504,4,1,0
"73",0,0,NA,0,NA,729,99,NA,"""01-1269""","""Cuyahoga Falls v. Buckeye Community Hope""","2002-06-24","2003-01-21","""USCA-6""",NA,NA,2,0,220,2,0,90,1,0,0,0,0,2,0,399,2,1,0
"76",0,0,0,1,0,225,71,539,"""01-1289""","""State Farm Mutual Auto. v. Campbell""","2002-06-03","2002-12-11","""SC-UT""",NA,NA,3,0,NA,8,0,NA,1,0,0,0,0,8,0,501,4,1,0.333333333333333
"79",0,1,0,0,0,482,533,976,"""01-1325""","""Washington Legal Foundation v. Legal Foundation of WA""","2002-06-10","2002-12-09","""CA-9""",NA,NA,3,1,507,4,1,54,1,0,0,0,0,4,1,507,4,1,0
"82",1,0,0,0,0,895,232,10,"""01-1368""","""Nevada Dept. of Human Resources v. Hibbs""","2002-06-24","2003-01-15","""CA-9""",NA,NA,3,1,NA,10,1,NA,1,0,0,0,0,10,1,501,4,1,0
"85",0,0,0,0,0,103,818,81,"""01-1375""","""U.S. v. Navajo Nation""","2002-06-03","2002-12-02","""CA-Fed""",NA,NA,3,0,293,2,0,63,0,1,0,0,0,2,0,293,2,1,0
"88",0,0,0,1,1,54,995,62,"""01-1418""","""Archer v. Warner""","2002-06-24","2003-01-13","""CA-4""",NA,NA,3,0,611,8,0,72,0,1,0,0,0,8,0,611,8,1,0.666666666666667
"91",0,0,0,0,0,927,102,79,"""01-1420""","""WA Dept. of Soc & Health Svcs v Guardianship of Keffeler""","2002-05-28","2002-12-03","""SC-WA""",NA,NA,3,0,301,2,0,90,0,1,0,0,0,2,0,312,2,1,0
"94",0,0,0,0,NA,232,10,NA,"""01-1435""","""Clackamas Gastro. v. Wells""","2002-10-01","2003-02-25","""CA-9""",NA,NA,2,0,NA,2,0,NA,0,1,0,0,0,2,0,331,2,1,0
"97",1,0,1,0,NA,483,779,NA,"""01-1437""","""Branch v. Smith & 1-1596 Smith v Branch""","2002-06-10","2002-12-10","""USDC-S. MS""",NA,NA,2,1,211,2,1,72,0,1,0,0,0,2,1,910,10,1,0
"100",0,0,0,0,0,540,524,856,"""01-1444""","""Chavez v. Martinez""","2002-06-03","2002-12-04","""CA-9""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,1,0,23,1,1,0
"103",0,0,0,0,0,174,309,61,"""01-1491""","""Demore v. Kim""","2002-06-28","2003-01-15","""USCA-9""",NA,NA,3,0,NA,4,0,NA,1,0,0,0,0,2,0,501,4,1,0
"106",0,1,0,0,NA,421,20,NA,"""01-1500""","""Clay v. United States""","2002-06-28","2003-01-13","""USCA-7""",NA,NA,2,0,13,1,1,90,0,1,0,1,0,1,1,857,9,1,0
"109",0,1,1,1,0,337,972,127,"""01-1559""","""Massaro v. U.S.""","2002-10-01","2003-02-25","""CA-2""",NA,NA,3,0,NA,1,1,NA,0,0,1,1,0,1,1,704,9,1,0.666666666666667
"112",1,0,0,NA,NA,99,NA,NA,"""01-1572""","""Cook County v. US, ex rel Chandler""","2002-06-28","2003-01-14","""USCA-7""",NA,NA,1,1,616,8,1,90,0,1,0,0,0,8,1,650,8,1,0
"115",1,1,1,0,1,636,856,616,"""01-1757""","""Stogner v. California""","2002-12-02","2003-03-31","""CA-CA, 1st App Dist""",NA,NA,3,0,NA,1,1,NA,1,0,0,1,0,1,1,80,1,1,0.666666666666667
"118",0,0,0,0,0,241,71,94,"""01-1806""","""Ryan, Atty. General of IL v. Telemarketing Associates""","2002-11-04","2003-03-03","""SC-IL""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,0,411,3,1,0
"121",0,0,0,0,0,337,972,875,"""01-1862""","""Woodford v. Garceau""","2002-10-01","2003-01-21","""CA-9""",NA,NA,3,0,13,1,0,63,0,1,0,1,0,1,0,13,1,1,0
"124",1,1,1,1,1,510,930,875,"""01-6978""","""Ewing v. California""","2002-04-01","2002-11-05","""CA-CA, 2nd Dist.""",NA,NA,3,1,41,1,0,54,1,0,0,1,0,1,0,41,1,1,1
"127",1,1,1,1,1,421,972,20,"""01-7574""","""Sattazahn v, Pennsylvania""","2002-03-18","2002-11-04","""SC-PA, E. Dist.""",NA,NA,3,1,70,1,0,54,1,0,0,1,1,1,0,70,1,1,1
"130",0,1,1,1,1,421,70,375,"""01-7662""","""Miller-el v. Cockrell""","2002-02-15","2002-10-16","""USCA-5""",NA,NA,3,0,13,1,1,81,1,1,0,1,0,1,1,13,1,1,1
"133",1,1,0,0,NA,882,895,NA,"""02-0042""","""CA Franchise Tax Board v. Hyatt, Gilbert, et al""","2002-10-15","2003-02-24","""SC-NV""",NA,NA,2,1,NA,10,NA,NA,1,0,0,0,0,11,NA,626,8,1,0
"136",0,0,0,0,0,973,540,213,"""02-0069""","""Roell v. Withrow""","2002-11-04","2003-02-26","""USCA-5""",NA,NA,3,0,NA,9,0,NA,0,1,0,0,0,9,1,852,9,1,0
"139",0,0,0,0,0,988,524,465,"""02-0094""","""Overton v. Bazzetta""","2002-12-02","2003-03-26","""USCA-6""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,1,504,4,1,0
"142",1,1,1,1,1,241,23,255,"""02-0102""","""Lawrence v. Texas""","2002-12-02","2003-03-26","""CA-TX, 14th Dist""",NA,NA,3,0,NA,5,1,NA,1,0,0,1,0,5,1,501,4,1,1
"145",0,0,0,0,NA,483,779,NA,"""02-0182""","""Georgia v. Ashcroft""","2003-01-17","2003-04-29","""USCA-DC""",NA,NA,2,0,NA,2,1,NA,0,1,0,0,0,2,0,250,2,1,0
"148",0,0,0,1,0,223,110,611,"""02-0215""","""Pacificare v. Book, Jeffrey, et al""","2002-10-15","2003-02-24","""USCA-11""",NA,NA,3,0,NA,8,0,NA,0,0,1,0,0,8,0,653,8,1,0.333333333333333
"151",0,0,0,0,0,602,949,512,"""02-0241""","""Grutter v. Bollinger""","2002-12-02","2003-04-01","""USCA-6""",NA,NA,3,1,NA,2,1,NA,1,0,0,0,0,2,1,223,2,1,0
"154",0,1,0,1,NA,482,636,NA,"""02-0258""","""Jinks v. Richland County""","2002-10-21","2003-03-05","""SC-SC""",NA,NA,2,0,NA,10,1,NA,1,0,0,0,1,9,1,939,10,1,0
"157",0,0,0,0,0,103,818,81,"""02-0281""","""Inyo County v. Paiute-Shoshone Indians""","2002-12-02","2003-03-31","""USCA-9""",NA,NA,3,0,NA,2,0,NA,0,1,0,0,0,2,0,16,1,1,0
"160",0,0,0,NA,NA,816,NA,NA,"""02-0299""","""Entergy Louisiana, Inv. v. Louisiana Public Service Comm.""","2003-01-17","2003-04-28","""SC-LA""",NA,NA,1,0,NA,8,0,NA,0,1,0,0,0,10,1,631,8,1,0
"163",0,0,1,NA,NA,893,NA,NA,"""02-0306""","""Beneficial Nat'l Bank v. Anderson""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,1,0,NA,8,1,NA,0,1,0,0,0,9,1,851,9,1,0
"166",0,1,1,1,NA,774,763,NA,"""02-0311""","""Wiggins v. Smith""","2002-11-18","2003-03-24","""CA-4""",NA,NA,2,0,NA,1,1,NA,1,0,0,1,0,1,1,382,2,1,0
"169",1,1,1,1,1,585,496,102,"""02-0337""","""Breuer v. Jim's Concrete""","2003-01-10","2003-04-02","""USCA-11""",NA,NA,3,1,NA,9,0,NA,0,1,0,0,0,9,1,559,7,1,1
"172",0,0,0,0,NA,333,526,NA,"""02-0361""","""US v. American Library Assn""","2002-11-12","2003-03-05","""USDC-E. PA""",NA,NA,2,0,NA,NA,0,NA,1,0,0,0,0,3,0,401,3,1,0
"175",0,0,0,0,NA,71,585,NA,"""02-0371""","""Virginia v. Hicks""","2003-01-24","2003-04-30","""SC-VA""",NA,NA,2,0,NA,2,0,NA,1,0,0,1,0,3,0,401,3,1,0
"178",0,1,1,0,NA,333,773,NA,"""02-0403""","""FEC v. Beaumont""","2002-11-18","2003-03-25","""CA-4""",NA,NA,2,0,NA,2,0,NA,1,0,0,0,0,3,0,444,3,1,0
